"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","13138","0.0-0.0","558ffe16fdf99b3f7aada34d","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","39022","0.0-1.0-0.0","558ffe16fdf99b3f7aada34d","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","51478","0.0-2.0-0.0","558ffe16fdf99b3f7aada34d","B2","batch2","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","71885","0.0-2.0-1.0","558ffe16fdf99b3f7aada34d","B2","batch2","","20398.79999999993","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","72693","0.0-2.0-2.0-0.0","558ffe16fdf99b3f7aada34d","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","84638","0.0-2.0-2.0-1.0","558ffe16fdf99b3f7aada34d","B2","batch2","spm_respsonse","11903","img/question_1_1.jpeg","3","mat_01","4","1","1","11903","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","85702","0.0-2.0-2.0-0.1","558ffe16fdf99b3f7aada34d","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","89491","0.0-2.0-2.0-1.1","558ffe16fdf99b3f7aada34d","B2","batch2","spm_respsonse","3778","img/question_1_2.jpeg","4","mat_02","5","1","1","3778","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","90558","0.0-2.0-2.0-0.2","558ffe16fdf99b3f7aada34d","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","93840","0.0-2.0-2.0-1.2","558ffe16fdf99b3f7aada34d","B2","batch2","spm_respsonse","3266.70000000007","img/question_1_3.jpeg","0","mat_03","1","1","1","3266.70000000007","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","94902","0.0-2.0-2.0-0.3","558ffe16fdf99b3f7aada34d","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","98673","0.0-2.0-2.0-1.3","558ffe16fdf99b3f7aada34d","B2","batch2","spm_respsonse","3758.100000000093","img/question_1_4.jpeg","3","mat_04","2","0","0","3758.100000000093","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","99733","0.0-2.0-2.0-0.4","558ffe16fdf99b3f7aada34d","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","103111","0.0-2.0-2.0-1.4","558ffe16fdf99b3f7aada34d","B2","batch2","spm_respsonse","3356.5","img/question_1_5.jpeg","5","mat_05","6","1","1","3356.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","104173","0.0-2.0-2.0-0.5","558ffe16fdf99b3f7aada34d","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","109722","0.0-2.0-2.0-1.5","558ffe16fdf99b3f7aada34d","B2","batch2","spm_respsonse","5537","img/question_1_6.jpeg","2","mat_06","3","1","1","5537","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","110790","0.0-2.0-2.0-0.6","558ffe16fdf99b3f7aada34d","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","116501","0.0-2.0-2.0-1.6","558ffe16fdf99b3f7aada34d","B2","batch2","spm_respsonse","5695.20000000007","img/question_1_7.jpeg","4","mat_07","6","0","0","5695.20000000007","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","117565","0.0-2.0-2.0-0.7","558ffe16fdf99b3f7aada34d","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","125025","0.0-2.0-2.0-1.7","558ffe16fdf99b3f7aada34d","B2","batch2","spm_respsonse","7446.399999999907","img/question_1_8.jpeg","1","mat_08","2","1","1","7446.399999999907","","","","","","","","","","","","","","","","","","","","",""
